AGENT.ID,TotalIn,TotalOut,Movements,NetBalance
207,0,25948779,3,-25948779
208,0,19168998,2,-19168998
209,0,90900721,21,-90900721
210,0,7523331,1,-7523331
211,0,679596704,37,-679596704
212,0,62335173,16,-62335173
213,0,6209558,1,-6209558
214,0,62053394,4,-62053394
215,0,1148199908,19,-1148199908
216,0,329175278,24,-329175278
217,0,316641826,9,-316641826
218,0,695884,1,-695884
219,0,109505681,26,-109505681
220,0,18598657,12,-18598657
221,0,531214955,38,-531214955
222,0,49363172,13,-49363172
223,4278547579,223110470,342,4055437109
224,0,41543797,10,-41543797
225,0,9256260,5,-9256260
226,0,97066312,24,-97066312
227,0,805884,1,-805884
228,0,30541478,5,-30541478
229,0,5432087,1,-5432087
230,0,425152523,73,-425152523
231,0,160768207,3,-160768207
232,0,1490877,3,-1490877
233,0,52692364,6,-52692364
234,0,3995312914,76,-3995312914
235,0,38354569,11,-38354569
236,0,7264924305,127,-7264924305
237,0,30494452,8,-30494452
238,0,113420075,24,-113420075
239,0,4275630364,265,-4275630364
240,0,1186830210,15,-1186830210
241,0,225611866,31,-225611866
242,0,34314855,15,-34314855
243,0,118203447,20,-118203447
244,0,73904644,20,-73904644
245,0,4574539959,51,-4574539959
246,0,3051251,2,-3051251
247,0,3358668,4,-3358668
248,0,112054690,6,-112054690
249,0,31805309,9,-31805309
250,0,38591742,11,-38591742
251,0,12885125,3,-12885125
252,0,77425181,5,-77425181
253,0,916699,2,-916699
254,0,54694621,6,-54694621
255,3113637191,1910320979,220,1203316212
256,0,1321642405,65,-1321642405
257,0,398552770,80,-398552770
258,0,45380120,14,-45380120
259,0,62639381,6,-62639381
260,0,3160790512,44,-3160790512
261,0,6629007,4,-6629007
262,0,14803336,7,-14803336
263,0,804748,2,-804748
264,0,12184960,4,-12184960
265,0,71863150,14,-71863150
266,0,27985038,9,-27985038
267,0,5590750,4,-5590750
268,0,14149156800,39,-14149156800
269,0,700059,1,-700059
270,0,16307263,5,-16307263
271,279486277,8288461461,61,-8008975184
272,0,21102477,1,-21102477
273,0,92536258,4,-92536258
274,0,69577368,4,-69577368
275,0,73947199,19,-73947199
276,0,1458559,1,-1458559
