timestamp,cash,altcoin,value,exposure
1734739200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734753600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734768000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734782400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734796800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734811200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734825600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734840000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734854400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734868800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734883200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734897600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734912000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734926400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734940800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734955200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734969600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734984000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1734998400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735012800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735027200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735041600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735056000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735070400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735084800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735099200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735113600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735128000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735142400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735156800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735171200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735185600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735200000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735214400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735228800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735243200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735257600000,1001775.1818578038,0.0,1001775.1818578038,0.0
