,SOL_close,BTC_close,ETH_close
SOL_close,1.0,0.9592565635864995,0.8907972709434626
BTC_close,0.9592565635864995,1.0,0.858593242306656
ETH_close,0.8907972709434626,0.858593242306656,1.0
