timestamp,first,last,max,min,weekly_return
2024-12-08,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-15,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-22,1000000.0,1001775.1818578038,1001775.1818578038,1000000.0,0.001775181857803787
2024-12-29,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2025-01-05,1001775.1818578038,1005225.5435010183,1005225.5435010183,1001775.1818578038,0.0034442474775784326
2025-01-12,1005225.5435010183,1003755.172582675,1005225.5435010183,1003755.172582675,-0.001462727372826489
2025-01-19,1003755.172582675,1003384.6852085432,1003755.172582675,1003384.6852085432,-0.0003691013349186312
2025-01-26,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-02-02,1003384.6852085432,1002504.6175224034,1003384.6852085432,1002504.6175224034,-0.0008770989821883513
2025-02-09,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-16,1002504.6175224034,1002853.7861762047,1003027.6606417213,1002504.6175224034,0.0003482963047733989
2025-02-23,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-02,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-09,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-16,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-23,1002853.7861762047,1003308.7952410512,1003308.7952410512,1002853.7861762047,0.0004537142613596501
