open_time,signal,size,entry_price,open_index,stop_loss,exit_price,exit_time,profit,timestamp
1734307200000,-1,325.42372881355936,221.25,5797,0.01,223.13,1734321600000,611.7966101694901,2024-12-16 04:00:00
1734336000000,-1,336.4607207796136,214.1,5799,0.01,216.98,1734350400000,969.0068758452857,2024-12-16 12:00:00
1734350400000,-1,332.28028654092725,216.98,5800,0.01,218.33,1734364800000,448.5783868302593,2024-12-16 16:00:00
1734364800000,-1,330.33785275133664,218.33,5801,-0.6320000000000044,216.19,1734379200000,-706.9230048878653,2024-12-16 20:00:00
1734393600000,-1,334.48138250658354,215.45,5803,0.01,215.57,1734408000000,40.13776590079155,2024-12-17 04:00:00
1734566400000,-1,359.4214804557911,208.84,5815,0.01,211.81,1734580800000,1067.4817969536991,2024-12-19 04:00:00
1735560000000,-1,401.09512406222126,187.32,5884,0.01,196.21,1735574400000,3565.735652913153,2024-12-30 16:00:00
1736236800000,-1,112.70397572654602,214.06,5931,-1.8800000000000032,207.76,1736251200000,-710.0350470772412,2025-01-07 12:00:00
1736251200000,-1,116.03540849372281,207.76,5932,-0.9499999999999965,204.56,1736265600000,-371.3133071799117,2025-01-07 16:00:00
1736265600000,-1,117.80281463790666,204.56,5933,-0.7070000000000044,202.17,1736280000000,-281.54872698459866,2025-01-07 20:00:00
1736726400000,-1,130.1957744256834,185.03,5965,-0.7609999999999979,182.46,1736740800000,-334.60314027400545,2025-01-13 04:00:00
1737936000000,-1,102.12566770570413,235.8,6049,-2.471000000000003,227.53,1737950400000,-844.5792719261742,2025-01-27 04:00:00
1739361600000,-1,125.31307719030042,192.0,6148,0.01,193.7,1739376000000,213.03223122350929,2025-02-12 16:00:00
1739376000000,-1,124.23517602228883,193.7,6149,0.01,196.78,1739390400000,382.64434214865116,2025-02-12 20:00:00
1739707200000,-1,126.48520310740496,190.32,6172,-0.317000000000001,189.23,1739721600000,-137.86887138707183,2025-02-16 16:00:00
1742256000000,-1,193.86621722294734,124.15,6349,0.01,125.2,1742270400000,203.55952808409415,2025-03-18 04:00:00
1742299200000,-1,196.39802698180773,122.57,6352,0.01,124.22,1742313600000,324.05674451998385,2025-03-18 16:00:00
