timestamp,entry_price,stop_loss,risk_reward_ratio,exposure_pct
1734307200000,221.25,0.01,2.5,7.200000000000001
1734336000000,214.1,0.01,2.5,7.200000000000001
1734350400000,216.98,0.01,2.5,7.200000000000001
1734364800000,218.33,0.01,2.5,7.200000000000001
1734393600000,215.45,0.01,2.5,7.200000000000001
1734566400000,208.84,0.01,2.5,7.5
1735560000000,187.32,0.01,2.5,7.5
1736236800000,214.06,0.01,2.5,2.4
1736251200000,207.76,0.01,2.5,2.4
1736265600000,204.56,0.01,2.5,2.4
1736726400000,185.03,0.01,2.5,2.4
1737936000000,235.8,0.01,2.5,2.4
1739361600000,192.0,0.01,2.5,2.4
1739376000000,193.7,0.01,2.5,2.4
1739707200000,190.32,0.01,2.5,2.4
1742256000000,124.15,0.01,2.5,2.4
1742299200000,122.57,0.01,2.5,2.4000000000000004
