timestamp,first,last,max,min,daily_return
2024-12-04,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-05,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-06,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-07,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-08,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-09,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-10,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-11,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-12,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-13,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-14,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-15,1000000.0,1000000.0,1000000.0,1000000.0,0.0
2024-12-16,1000000.0,1000889.0814033807,1001703.6582111017,1000000.0,0.0008890814033806205
2024-12-17,1000889.0814033807,1000821.0930451655,1000889.0814033807,1000821.0930451655,-6.792796472498974e-05
2024-12-18,1000821.0930451655,1000821.0930451655,1000821.0930451655,1000821.0930451655,0.0
2024-12-19,1000821.0930451655,1001775.1818578038,1001775.1818578038,1000821.0930451655,0.0009533060596627063
2024-12-20,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-21,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-22,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-23,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-24,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-25,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-26,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-27,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-28,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-29,1001775.1818578038,1001775.1818578038,1001775.1818578038,1001775.1818578038,0.0
2024-12-30,1001775.1818578038,1005225.5435010183,1005225.5435010183,1001775.1818578038,0.0034442474775784326
2024-12-31,1005225.5435010183,1005225.5435010183,1005225.5435010183,1005225.5435010183,0.0
2025-01-01,1005225.5435010183,1005225.5435010183,1005225.5435010183,1005225.5435010183,0.0
2025-01-02,1005225.5435010183,1005225.5435010183,1005225.5435010183,1005225.5435010183,0.0
2025-01-03,1005225.5435010183,1005225.5435010183,1005225.5435010183,1005225.5435010183,0.0
2025-01-04,1005225.5435010183,1005225.5435010183,1005225.5435010183,1005225.5435010183,0.0
2025-01-05,1005225.5435010183,1005225.5435010183,1005225.5435010183,1005225.5435010183,0.0
2025-01-06,1005225.5435010183,1005225.5435010183,1005225.5435010183,1005225.5435010183,0.0
2025-01-07,1005225.5435010183,1003755.172582675,1005225.5435010183,1003755.172582675,-0.001462727372826489
2025-01-08,1003755.172582675,1003755.172582675,1003755.172582675,1003755.172582675,0.0
2025-01-09,1003755.172582675,1003755.172582675,1003755.172582675,1003755.172582675,0.0
2025-01-10,1003755.172582675,1003755.172582675,1003755.172582675,1003755.172582675,0.0
2025-01-11,1003755.172582675,1003755.172582675,1003755.172582675,1003755.172582675,0.0
2025-01-12,1003755.172582675,1003755.172582675,1003755.172582675,1003755.172582675,0.0
2025-01-13,1003755.172582675,1003384.6852085432,1003755.172582675,1003384.6852085432,-0.0003691013349186312
2025-01-14,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-15,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-16,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-17,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-18,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-19,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-20,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-21,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-22,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-23,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-24,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-25,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-26,1003384.6852085432,1003384.6852085432,1003384.6852085432,1003384.6852085432,0.0
2025-01-27,1003384.6852085432,1002504.6175224034,1003384.6852085432,1002504.6175224034,-0.0008770989821883513
2025-01-28,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-01-29,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-01-30,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-01-31,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-01,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-02,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-03,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-04,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-05,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-06,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-07,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-08,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-09,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-10,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-11,1002504.6175224034,1002504.6175224034,1002504.6175224034,1002504.6175224034,0.0
2025-02-12,1002504.6175224034,1003027.6606417213,1003027.6606417213,1002504.6175224034,0.0005217363692653354
2025-02-13,1003027.6606417213,1003027.6606417213,1003027.6606417213,1003027.6606417213,0.0
2025-02-14,1003027.6606417213,1003027.6606417213,1003027.6606417213,1003027.6606417213,0.0
2025-02-15,1003027.6606417213,1003027.6606417213,1003027.6606417213,1003027.6606417213,0.0
2025-02-16,1003027.6606417213,1002853.7861762047,1003027.6606417213,1002853.7861762047,-0.00017334962168980006
